sentence,label,clean_text,sentiment
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",2,purchase agreement ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month,Positive
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",2,finnish talentum report operating profit increased eur mn eur mn net sale totaled eur mn eur mn,Positive
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",2,clothing retail chain sepp l sale increased eur mn operating profit rose eur mn eur mn,Positive
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",2,consolidated net sale increased reach eur operating profit amounted eur compared loss eur prior year period,Positive
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",2,foundry division report sale increased eur mn eur mn corresponding period sale machine shop division increased eur mn eur mn corresponding period,Positive
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",2,helsinki afx share closed higher led nokia announced plan team sanyo manufacture g handset nokian tyre fourth quarter earnings report beat analyst expectation dealer said,Positive
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",2,incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue,Positive
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",2,board director propose dividend eur per share eur per share paid,Positive
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",2,lifetree founded revenue risen average margin late,Positive
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",2,filippova trilateral agreement investment construction technology park st petersburg signed course forum day russian economy opened helsinki today,Positive
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",2,megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,Positive
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",2,net income life insurance doubled eur mn eur mn net income non life insurance rose eur mn eur mn corresponding period,Positive
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2,net sale increased eur eur pretax profit rose eur eur usd,Positive
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2,net sale surged eur teleste said eur sale came acquisition made,Positive
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2,nordea group operating profit increased percent year year billion euro total revenue percent billion euro,Positive
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",2,operating profit nine month period increased eur net sale increased eur compared corresponding period,Positive
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",2,operating profit nine month period increased eur net sale increased eur compared corresponding period,Positive
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",2,operating profit three month period increased eur revenue increased eur compared corresponding period,Positive
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",2,brazilian unit finnish security solution provider f secure signed new client last year online news source reseller web quoted division commercial director vladimir brand saying,Positive
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",2,company net profit rose year million euro sale million euro year company said earlier,Positive
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2,lithuanian beer market made million liter january rise percent year earlier figure lithuanian brewer association reporting citing result member,Positive
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2,viking line cargo revenue increased eur mn cargo volume increased cargo unit,Positive
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2,fair value property portfolio doubled result kapiteeli acquisition totalled eur million,Positive
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,2,february finnish medium company sanoma oyj hel saa v said yesterday net profit almost tripled eur eur announced proposal raised payout,Positive
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2,helsinki eliiv today reported eps eur increase eps eur,Positive
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",2,aspo plc stock exchange release february esl shipping ltd part aspo group signed new long term contract rautaruukki corporation marine transport raw material baltic sea,Positive
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2,commission income increased eur mn lending volume rose,Positive
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2,january traffic measured revenue passenger kilometre rpk went capacity measured available seat kilometre ask rose,Positive
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,january september fiskars net profit went year year eur million net sale eur million eur million,Positive
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,net income life insurance rose eur mn eur mn net income non life insurance eur mn eur mn,Positive
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",2,nyrstar also agreed supply talvivaara tonne sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,Positive
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",2,sale department store division hobby hall increased sale clothing store subsidiary seppala decreased,Positive
Sales have risen in other export markets .,2,sale risen export market,Positive
Sales increased due to growing market rates and increased operations .,2,sale increased due growing market rate increased operation,Positive
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2,agreement strengthens long term partnership nokia siemens network,Positive
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",2,agreement signed biohit healthcare ltd uk based subsidiary biohit oyj finnish public company develops manufacture market liquid handling product diagnostic test system,Positive
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,2,company also estimate already carried investment lead increase net sale reached eur million,Positive
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2,company order book stood bln euro bln september pct year international order amounting mln euro mln,Positive
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",2,company said paper demand increased main market including publication paper increased average paper price percent compared last year,Positive
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2,world second largest stainless steel maker said net profit three month period dec surged euro million u million euro u per share euro million euro per share previous year,Positive
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",2,within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia,Positive
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,seppala revenue increased eur finland revenue went eur sale abroad rose eur sale increased baltic country well russia ukraine,Positive
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",2,share standard chartered stan rose ftse royal bank scotland rb share rose barclays share barc bcs,Positive
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2,share nokia corp rose thursday cell phone maker said third quarter earnings almost doubled share global handset market increased,Positive
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2,financial report published friday seb said net profit soared sek bn year earlier sek bn proposed dividend increase sek per share,Positive
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2,sale department store division increased sale clothing store subsidiary seppala increased meanwhile sale hobby hall decreased,Positive
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,request finnish medium company alma medium newspaper research manager jari kaivo oja finland future research centre turku school economics drawn future scenario finland national economy using model developed university denver,Neutral
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",1,sweden gallerix accumulated sek denominated sale eur denominated sale,Neutral
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,1,company support global customer developing new technology offer fast route product development application volume production,Neutral
"When this investment is in place , Atria plans to expand into the Moscow market .",1,investment place atrium plan expand moscow market,Neutral
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",1,new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,Neutral
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",2,first contract envisaged construction three ferryboat option two unit confirmed total value mln euro mln,Positive
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",1,june sold percent stake nordstjernan investment group taken option acquire eqt remaining share,Neutral
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",2,kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kauko telko ltd subsidiary wholly owned kesko,Positive
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,2,sponda plc stock exchange release december eur billion syndicated credit facility sponda sponda signed agreement one year syndicated credit facility total eur billion,Positive
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,1,stock exchange announcement july basware share subscription warrant increase share capital total share subscribed basware warrant program,Neutral
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",2,contract cover hdo platform ac cxe optical fttb node designed increase forward return path capacity transmission network,Positive
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,1,new plant planned electricity generation capacity megawatt mw heat generation capacity,Neutral
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",2,omx helsinki index pct helsinki cap portfolio index pct higher,Positive
"- So , the sales growth of cars considerably influence on the tires market '' .",1,sale growth car considerably influence tire market,Neutral
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1,maximum new share subscribed exercising b option stock option plan,Neutral
"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",1,result share issue number company share increase share share capital total eur,Neutral
"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",1,finnish real estate investor sponda plc said wednesday march signed agreement danske bank helsinki branch year eur credit facility ilmarinen mutual pension insurance company year eur credit facility,Neutral
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",1,route helsinki finland tallinn estonia cargo volume increased cargo volume finland sweden fell,Neutral
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",1,measure included increasing synergy economy scale within grimaldi group personnel adjustment divestments redelivery excess tonnage,Neutral
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",2,rinkuskiai raised sale percent million liter sale kauno alus grew percent liter,Positive
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,1,telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc said friday april signed agreement selling share morning digital design oy edita oyj,Neutral
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,2,telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc said friday april signed agreement selling share morning digital design oy edita oyj,Positive
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",1,new series share become subject trading helsinki stock exchange main list together old series share july,Neutral
The fuel purchase contracts have been signed with three months ' delivery from this September to November .,1,fuel purchase contract signed three month delivery september november,Neutral
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,1,tiimari operates store six country including core finnish market generated turnover mln eur,Neutral
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,2,agreement biohit becomes focus supplier pipettors disposable pipettor tip vwr customer throughout europe,Positive
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",2,combination service enabling u offer complex strengthened service chain limited baltic port connection also getting access world wide grimaldi network mediterranean africa north america say uwe bakosch,Positive
No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,1,blind spot coming vantage point allows investigator see whole story high resolution unbroken video,Neutral
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",2,company still expects turnover slightly increase level adding market predictability still poor trustworthy forecast market development contract manufacturing business current year,Positive
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2,acquisition considerably increase kemira sale market position russian metal industry coating market,Positive
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2,january september finnlines net sale rose eur mn eur mn corresponding period,Positive
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2,adjusted change group structure division net sale increased,Positive
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2,change optimize operational efficiency growing business said julia prohaska director marketing communication fiskars,Positive
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",2,would invest physical infrastructure would also provide know managing developing science technology park said sunrise valley director andrius bagdonas,Positive
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2,february finnish broadband data communication system provider teleste oyj hel tlt v saw net profit jump eur last quarter eur period,Positive
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2,finnish aktia group operating profit rose eur mn first quarter eur mn first quarter,Positive
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2,finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,Positive
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",2,finnish financial group aktia report operating profit eur mn january september eur mn corresponding period,Positive
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2,finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year earlier,Positive
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,2,net sale finnish food industry company l nnen tehtaat continuing operation increased eur mn eur mn,Positive
An individual promotion also generated slightly higher-than-expected revenues .,2,individual promotion also generated slightly higher expected revenue,Positive
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2,biohit already service many current genesis customer customer base expected expand result agreement,Positive
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2,operating profit turnover three month period increased respectively eur eur compared corresponding period,Positive
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,2,circulation revenue increased finland sweden,Positive
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,2,clothing chain sepp l net sale increased eur mn,Positive
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2,construction volume meanwhile grow rate percent annually,Positive
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,2,finnish swedish construction market still experiencing estimated annual growth,Positive
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2,however biohit estimate total net sale continue grow favourable trend net sale lead profit,Positive
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2,fiskars cash flow operating activity amounted eur eur previous year,Positive
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",2,lithuania operating profit rose eur eur corresponding period,Positive
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2,fourth quarter net sale increased eur mn eur mn fourth quarter,Positive
"International sales rose by 59.8 % to EUR 1,244.4 mn .",2,international sale rose eur mn,Positive
Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,1,kalmar espana generated net sale mln euro mln,Neutral
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,net sale grew period x ac million u million x ac million,Positive
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2,net sale increased eur april june eur year earlier,Positive
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2,net sale rose year year eur number charger delivered went million piece,Positive
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",2,net sale totaled eur mn eur mn corresponding period,Positive
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",2,nokia also noted average selling price handset declined period though mobile phone profit margin rose percent percent year ago quarter,Positive
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2,operating profit increased eur mn eur mn,Positive
Operating profit margin increased from 11.2 % to 11.7 % .,2,operating profit margin increased,Positive
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,2,operating profit rose eur mn eur mn corresponding period,Positive
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2,operating profit rose eur mn eur mn fourth quarter,Positive
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2,operating profit eur mn eur mn,Positive
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",2,ramirent net sale second quarterended june euro million u million percent increase compared euro million thesecond quarter last year,Positive
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",2,revenue grew percent x ac million million x ac million,Positive
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,2,ruukki announced signed agreement aker solution norway supply suction anchor september kalajoki unit finland,Positive
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",2,ruukki delivery volume selling price showed favourable development company comparable net sale grew year year eur ceo sakari tamminen said,Positive
Sanoma Magazines ' net sales are estimated to grow in 2006 .,2,sanoma magazine net sale estimated grow,Positive
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,2,bank forecast finland gdp grow,Positive
"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",2,circuit overall production rate weekly basis excess average tonne per day volume excess tonne per day reached individual day,Positive
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2,company consolidated operating profit amounted eur mn eur mn year year,Positive
The Department Store Division reported an increase in sales of 4 per cent .,2,department store division reported increase sale per cent,Positive
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2,fair value company investment property grew eur billion end march eur million year ago,Positive
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",2,last quarter best quarter net sale operating margin rose,Positive
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2,major brewery increased domestic beer sale per cent last year million litre million litre,Positive
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",2,transaction double tecnomens workforse add fourth net sale,Positive
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2,operating profit rose eur million,Positive
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",2,purchase cramo become second largest rental service provider latvian market,Positive
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",2,priority strengthen company balance sheet increase cash flow ceo hannu krook said,Positive
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',2,purchase operation part yit strategy expand offering building system service geographically,Positive
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2,october finnish fishing tackle company rapala vmc corp hel rap v said today net profit rose eur first nine month eur period year earlier,Positive
"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .",1,structure bim building information modeling software tekla model based software provider adopted construction management delivery university project abu dhabi,Neutral
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2,according finnish metso mineral value company order gone eur bn month,Positive
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,2,finnish aldata solution signed contract supply g l system two french retail chain,Positive
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,2,finnish bank land report operating profit rose eur mn second quarter eur mn corresponding period,Positive
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2,finnish financial group aktia operating profit increased eur mn eur mn,Positive
