text,true_label,pred_label
empresa de desarrollo urbano de quito innovar uio ecuador commissioned poyry prepare feasibility study new urban rapid mass transit system,1,1
company net profit amounted ee mn,2,1
finland op pohjola staff union boycotting group insurance sale task company refused take sale insurance account determining wage,0,1
yakima created position emerging economic downturn,1,1
finnish metso paper awarded contract rebuild sabah forest industry sfi pulp mill sabah malaysia,2,2
abn represent voting right share capital citycon oyj,1,1
ukraine act partner major bakery client production product development,1,1
delivery started network ready launch soon,2,1
mill capacity produce tonne pulp per year,1,2
aspo plc stock exchange bulletin october p aspo system division completed statutory negotiation required act co operation within undertaking conducted part action plan launched august,1,1
new version important u introduce bim process based detailed building information model,1,1
additional amount capped eur payable cash upon achievement certain financial performance target,1,2
estonia second largest meat processing company market share according ac nielsen data percent,1,1
finnish silicon wafer manufacturer okmetic oyj said swung net profit mln euro mln first nine month net loss mln euro mln year earlier,2,2
shop located capital region paijat hame region,1,1
kaupthing bank publish annual result market open thursday january,1,1
profit tax eur mn eur mn,0,2
additional flight linking mumbai helsinki dictated strong traffic demand asia europe,2,2
shock phase consumer started plan implement building project,1,1
stage maximum tulikivi series share acquired representing per cent company share outstanding,1,1
cameco provide upfront investment usd mn construction uranium extraction circuit,1,1
stead based soft drink usual teho energy drink made fresh water,1,1
tyrvaan sanomat published twice week tyrvaan sanomat oy appears sastamala kiikoinen,1,1
data processing unit collect data calculates rvr value provides data user via various interface,1,1
absolut bank exploring possibility borrowing,1,1
module product available trial q volume delivery q,1,1
end march group order book eur mn corresponding period,2,2
baltic country atrium target organic growth,1,2
resignation take effect immediately,1,1
metsa botnia finance payment dividend repayment capital repurchase share fund deriving divestment uruguay operation share pohjolan voima utilising existing financing facility,1,1
cooper sh uk distributor lift equipment manufacturer konecranes five year deal involves low maintenance fuel saving technology,2,2
location make mall convenient place shop consumer three large residential area nearby jaroszowka wysockiego zgody,2,1
adpnews nov four company agreed buy combined sek billion usd eur drug store offered sale part restructuring swedish stated owned pharmacy monopoly apoteket ab,2,2
order follow mln euro mln deal made july,1,1
purchase agreement ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month,2,2
stonegate utm solution offer protection inbound outbound attack,2,1
paper maker stora enso oyj said friday acquitted charge participated paper price fixing conspiracy united state,2,1
neste shipping likely remain finnish oil sector transport significant emergency supply,1,2
acquisition made business well integrated,2,1
repo rate gradually reach end according nordea economic outlook,1,2
study expected start,1,1
feed company suomen rehu raisio import gmo feed,1,1
growth rate paying national debt extremely painful,0,2
company process building new fleet placed order p max tanker dwt,2,1
helsinki based company also owns salomon atomic suunto brand said net profit rose percent three month dec x ac million u million x ac million year earlier,2,2
change optimize operational efficiency growing business said julia prohaska director marketing communication fiskars,2,1
sale outokumpu share technology unit reduced percent,1,1
pct lower,1,0
finnish electronics manufacturer pkc group oyj omx helsinki pkc v said wednesday december completed acquisition man nutzfahrzeuge ag cable harness business man star truck bus spolka zoo poland,2,1
laavainen said benecol well known europe u market year,1,2
financial detail disclosed,1,1
nordea group operating profit increased percent year year billion euro total revenue percent billion euro,2,2
proportion estonian lithuanian passenger tallinn helsinki route also grew july,2,2
service developed digia facilitates work resourcing health care personnel vaccination campaign providing monitoring management tool,1,1
dual fuel engine vessel operate liquefied natural gas lng low emission,1,1
financial detail available,1,1
october finnish paint coating company tikkurila oyj hel tik v announced today launch tikkurila prohouse method protection wooden surface via treatment ultra pro waterborne product,1,1
aspokem posted operating profit mln euro mln net sale mln euro mln,1,1
kemira recorded revenue approximately eur billion staff,1,1
far company awarded worth tool material,1,1
operating profit surged eur eur,2,2
latvia stockmann shopping mall subsidiary finland stockmann plc,1,1
finnish telecom software developer tecnomen oyj said december mln mln euro order supply expansion charging messaging system mobile fixed network brasil telecom,2,2
production product continue normally temporary lay offs concern simultaneously employee,0,0
according company decision issue made summer earliest summer latest,1,1
operating loss totalled eur mn compared loss eur mn corresponding period,0,0
however offering probably made current valuation partly derives deal company merged stock market shell,1,1
expansion finalized autumn,1,1
allows young child move forward life,2,1
rimi supermarket key customer magistral center,1,1
currently yit build housing estate zapadnye vorota square metre city house square metre completed end,1,1
operating loss totaled eur mn compared profit eur mn,0,0
new plant planned electricity generation capacity megawatt mw heat generation capacity,1,1
according tyrv inen estimation japan essential location term finnair asian strategy,1,2
finnish ahlstrom corporation double investment new specialty glassfiber reinforcement plant south carolina u,2,1
connectivity unit e invoice customer number annual transaction stand nearly one million,1,1
serving customer locally one cornerstone customer focus u,1,1
fixed term contract mr jarmo ukonaho current general manager incap indian operation finish end year,1,2
capman haavisto responsible group finance accounting,1,1
electricity requirement network grow new mobile generation,1,2
lowering price u competitor show real estate market stabilised returned balance apartment acquiring fair price eye client,2,1
price talk mid market swap plus bps area lead barclays bnpp ubs cba,1,1
january june diluted loss per share stood eur versus eur first half,0,0
value confirmed aircraft order total eur bn,1,1
okmetic global customer base sale network production plant finland u contract manufacturer japan china,1,1
international sale rose eur mn,2,2
cardona slowed vehicle turned around returned intersection called,1,1
national conciliator juhani salonius met party wednesday said far apart view propose mediation,0,1
london afx uk european broker recommendation issued today collated afx news range market source,1,1
stable outlook reflects nokia strong market position global mobile handset market strong cash flow generation conservative balance sheet said raab,2,2
company net sale totalled meur operating margin per cent,1,1
metsaliitto however narrowed net loss second quarter mln euro mln mln euro mln year ago,2,2
acando ab acanb s fell percent kronor lowest close since dec,0,0
comptel slipped net loss eur profit eur previous year,0,0
stock exchange release sanoma published annual report financial statement first corporate responsibility report,1,1
poyry global consulting engineering firm focusing energy forest industry infrastructure environment sector,1,1
nordea pankki suomi oyj ownership stonesoft corporation decreased,1,1
earnings per share eps seen eur eur,2,0
divestment raisio margarine business may gave company clearer focus grain based product,2,1
cargo volume increased approximately,2,1
finland based stockmann group closed seven franchising sport store nike russia,0,1
paper company real calculated biscuit carton made using gsm lighter board co saved course month would equal generated driving km car,1,1
outokumpu steel mill tornio finland suspected source,0,1
value deal estimated sek sek,1,1
value order eur mn,1,1
le lay succeeds walter g nter based finland,1,1
according rehu managing director jouko lahtinen project stabilise cost improve supply security,2,2
nurminen logistics provides high quality logistics service railway transport terminal service forwarding special heavy transport medical transport,1,1
finnish aktia group operating profit rose eur mn first quarter eur mn first quarter,2,2
company ready invest fund deal rostelecom rts rtkm,2,1
adpnews feb finland based steel maker rautaruukki oyj hel rtrks ruukki said today slipped larger expected pretax loss eur million usd fourth quarter,0,0
acquisition part ramirent central eastern european growth strategy,1,2
autotank group part aspo system division,1,1
member oneworld alliance includes american airline british airway,1,1
contract also includes cutting edging wagon part ruukki steel service centre seinajoki raahe delivered vr welding assembly,1,1
lemminkainen talo oy lahti office significant logistics business premise constructor,1,1
following registration share capital biotie eur,1,1
november finnish office furniture maker martela oyj hel mara said today make redundant three people nine laid permanently company office staff factory worker,0,0
area highly valued land already built,1,1
operating result month period decreased profit eur turnover decreased eur compared,0,0
result expected late,1,0
rapala said estimate make saving mln eur year centralising french operation one site,2,2
plant would use palm oil certified roundtable sustainable palm oil rspo,1,1
london leading share today jumped almost point market opened,2,2
simultaneously merger plan another merger plan signed according suomen projektivuokraus oy subsidiary vtm rakennuskonevuokraamo oy would merged vtm rakennuskonevuokraamo oy,1,1
give bedroom cool makeover summer,1,1
course talk coming new project involve material handling konecranes president ceo pekka lundmark said asked whether talking reliance industry supplying equipment upcoming refinery jamnagar,1,2
basware connectivity service allow company handle purchase pay process online make internal process efficient said ceo ilkka sihvo basware corporation,2,1
according finnish russian chamber commerce major construction company finland operating russia,1,1
august latvijas finieris ordered production line new green veneer mill built ukmerge central lithuania,1,1
swiss franc surged record euro reported sharpest gain manufacturing march,2,2
company use asset strengthening balance sheet financial position,2,1
sale department store division hobby hall increased sale clothing store subsidiary seppala decreased,2,2
finnish operator elisa aker yard signed long term service deal elisa deliver necessary voice data service aker yard finland,2,2
second quarter net sale operator business partner represented group total net sale,1,1
neste oil extended yesterday gain put pct eur utility fortum shed pct eur,1,1
previously company anticipated operating profit improve period,2,2
niam offer financial investor high return via investment fund turn invest type property,1,1
arrangement apply group unit outside finland,1,1
finnish department store group stockmann planning acquire eur mn directed issue right offering,1,1
neste oil refinery combined crude oil refining capacity approximately barrel day,1,1
penttil vision important reason transaction russia,1,1
according notice skandinaviska enskilda banken ab publ helsinki branch august divested total alma medium share ilkka yhtyma oyj kaleva kustannus oy condition agreement made company july fulfilled,1,1
ahlstrom corporation stock exchange announcement total new share ahlstrom corporation subscribed option right company stock option program ii,1,1
furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brand,2,2
possible personnel reduction concern approximately people,0,1
company well positioned brazil uruguay,2,1
omx helsinki index pct lower omx helsinki cap portfolio index pct,0,0
viking line stx finland said monday plan build million euro ferry would launched turku stockholm route spring,1,1
componenta increased stake turkish steel company doktas dokumculuk ticaret sanayi pct stake march,2,1
dutch publisher de vijver said today agreed buy stake belgian weekly magazine humo finnish medium company sanoma hel saa v,1,1
warmly welcome michael frei outotec,2,1
addition existing service counter area reception hall rebuilt access provided local rail connection,1,1
group consolidated net sale totaled billion euro employ approximately person,1,1
netcom expects complete turbo g deployment area year,1,2
fiskars cash flow operating activity amounted eur eur previous year,2,2
restructuring upm average paper machine capacity europe ton short ton coated magazine paper ton short ton coated fine paper,1,1
fair value company investment property went eur bn end september eur bn year earlier,0,2
moody said gave p long term senior unsecured p p short term debt rating finnish lender aktia bank eur bn usd bn euro medium term note emtn program march,1,1
part transaction real sappi also signed long term agreement supply pulp bctmp smaller service supply,2,2
swedish finnish danish listed company organized three market cap segment nordic large cap mid cap small cap,1,1
russian government contribute necessary fund said,1,2
value total investment eur mn,1,1
finnish rautaruukki awarded contract supply install steel superstructure partihallsf rbindelsen bridge gothenburg sweden,2,2
may finnish liquid handling product diagnostic test system maker biohit oyj hel biobv said today may net loss narrowed eur usd first quarter eur period,2,2
non recurring cost caused talentum premedia business area restructuring amount mln euro mln included company financial result second quarter,1,2
percentage share voting right calculated proportion total number share registered trade register total number voting right related,1,1
according mark white locatrix communication ceo company web service interface allows device owner friend family track locate twig user via web browser,1,1
cash flow operation rose eur mn eur mn,2,2
company market share continued increase,2,2
adpnews jun finnish stainless steel maker outokumpu oyj hel v said yesterday signed three year eur million usd bn revolving credit facility,2,2
value three year contract estimated eur,1,1
amer sport divests industrial site rumilly france announcement distributed thomson reuters behalf thomson reuters client,1,1
finnish company previously said operating result lower break even posted year earlier,0,0
thanks wide contact network good knowledge market business environment give great contribution development indian operation tell incap president ceo juhani hanninen,2,1
pricing detail disclosed,1,1
service also enables user watch e mail html format en enhanced addition language choose,1,1
rising cost forced packaging producer huhtamaki axe job hampshire manufacturing plant,0,1
export account one tenth company annual turnover one billion kroon,1,1
subscriber browse free number handset select number package service prefer activating phone,1,1
rapala vmc corporation rapala leading fishing tackle sporting good manufacturer distributor main owner peltonen shareholding,1,2
finnish plumbing heating system supplier uponor net sale continuing operation decreased eur mn eur mn,0,0
rapala vmc corporation rapala finland based company engaged manufacture distribution fishing equipment accessory,1,1
third quarter net sale increased year year eur million comparable currency rate growth,2,2
dividend payable annually shall deducted share subscription price,1,1
company operating income ebit totalled eur mn eur mn year year,2,2
china based operation enable u fully leverage resource expertise wireless solution also strengthen capability offer industry leading product customer china,2,2
world leader developing uv technology municipal wastewater drinking water industrial water treatment system trojan technology logical partner providing w rtsil uv technology ballast water treatment,1,2
sysopen digia signed agreement main shareholder sentera holding total share capital vote sentera,2,1
oxyview pulse oximeter common device check patient blood oxygen saturation level pulse rate,1,1
target net sale set eur bn target return investment,2,2
remainder revenue come technology agreement firm interdigital said,1,2
purchase cramo become second largest rental service provider latvian market,2,2
scheme teliasonera altimo practically identical except involves merger stake vimpelcom kyivstar,1,1
operating profit non recurring item eur mn first nine month compared eur corresponding period,0,0
aim ensure vacon good shape capital expenditure start pick comment vacon plc president ceo vesa laisi,2,1
training module aim strengthening public accounting ability fulfilling communal project management,2,1
ensure low operational cost radio network bts module configured software upgraded diagnosed remotely,2,2
finland leading metal group outokumpu said fourth quarter net profit tripled back strong global demand stainless steel soaring base metal price proceeds sale technology unit,2,2
glaston glass processing unit tamglass glass processing manufacturer high quality safety glass product operates finland,1,1
operating profit three month period increased eur revenue increased eur compared corresponding period,2,2
founded strand associate provides civil environmental transportation electrical mechanical engineering service employee office wisconsin alabama illinois indiana kentucky ohio,1,1
expenditure must justified pas budget approval hurdle believe rop model help make easier security practitioner make business case acquiring enabling security technology related control activity,1,1
operating profit excluding non recurring item decreased eur mn eur mn representing net sale,0,0
finnish technology company raute corporation omx helsinki rutav issued tuesday september profit warning financial year,0,0
finland poyry energy contract advise builder new cogeneration power plant lithuania second biggest city kaunas supervise construction process,2,1
helsinki afx kesko corp expected report lower second quarter eps today due tax charge earnings line seen higher year year analyst said,0,2
tecnomen system feature new range value added service prepaid post paid billing charging rating voice call data traffic kind content service mobile fixed network,1,1
according ultrascan software acquired cracker managed change mobile phone way phone able get hold one time password sent bank via text message,1,1
part reorganisation pohjola insurance field staff private customer join payroll local cooperative bank beginning october,1,1
total value deal usd mn,1,1
volume expected increase next year,2,2
shopping center opened st petersburg russia november turn cash flow finnish department store chain stockmann russian operation positive first time,2,2
remote radio head module available w power ghz ghz tdd frequency band,1,1
finnish developer manufacturer mobile phone charger salcomp plc omx helsinki sal v wednesday november lowered full year net sale estimate,0,1
finnish elevator escalator maker kone corporation said tuesday march received major order sir robert mcalpine supply elevator escalator watermark place project city london,2,2
currency conversion based exchange rate time deal,1,1
method system controlling hard disk drive using multimediacard physical interface invented marko ahvenainen ruutana finland,1,1
cooperation double switch converter capacity,2,2
total amount subscription price recorded fund invested non restricted equity,1,1
newspaper alma medium arena partner enter cooperation agreement using alma marketplace service respective region,1,1
according finnish fim bank alpro price would around eur mn mn,1,1
finnish financial software solution developer basware oyj said net profit fell euro mln first quarter mln euro mln year earlier,0,0
upm stock fell percent euro early afternoon trading helsinki,0,0
marimekko also opened concept store yokohama nagoya central japan silver spring metropolitan washington dc usa graz central austria aalborg northern denmark,2,1
adpnews aug finnish medium group ilkka yhtyma oyj hel ilk said today net profit fell year eur million usd first half,0,0
stora enso oyj largest papermaker october said would close four mill,0,0
strategic cooperation rentakran brings u new customer already working relationship authority new territory said jarmo laasanen senior manager cramo,2,2
banking sampo unchanged eur nordea rose pct eur,2,2
truly take efficiency new height mr metso add,2,2
operating profit rose eur mn eur mn corresponding period,2,2
hour news try icis news www icis com click trial icis news,1,1
master mayawas jointly developed nokia siemens network ufa fremantlemedia actively advertised maxi end may,1,1
writing publication lemmink inen history continuation earlier collaboration antti tuuri company,1,1
product coverage baked good biscuit breakfast cereal data coverage market size historic forecast company share brand share distribution data,1,1
investment place atrium plan expand moscow market,1,2
operating income rose eur mn eur mn,2,2
operating profit month period decreased eur net sale increased eur compared,0,0
ramirent leading company machinery equipment rental construction industry,2,2
choose efficient best overall value option customer already bidding stage,2,1
